==================================================================
BACKTEST: dial + SVI engine vs benchmarks
==================================================================
  Start: 2004-06-30   Tolerance: 4/5
  Costs: 0.05% round-trip per trade

  Rebalance dates: 266 (2004-06-30 -> 2026-07-31)
  SVI: 1500 steps, 2000 draws per rebalance
  [#################################################-]  99.2%  2026-05-29  port=$   59,456  dial=0.33  ETA=1.2m
  [#################################################-]  99.6%  2026-06-30  port=$   58,809  dial=0.37  ETA=0.6m
  [##################################################] 100.0%  2026-07-31  port=$   58,809  dial=0.41  ETA=0.0m

==================================================================
RESULTS
==================================================================

  strategy              total  ann ret   sharpe   max dd   calmar
  --------------------------------------------------------------
  Bot (tol=4)         488.1%  439.1%    10.41  -22.4%    19.56
  SPY                 910.7%  809.8%    12.00  -50.8%    15.95
  60/40               453.0%  411.6%     9.54  -32.3%    12.74
  VTI+SCHF              nan%    nan%      nan    nan%      nan
Traceback (most recent call last):
  File "/home/daniel/tradingbot/engine/backtest.py", line 317, in <module>
    run_backtest(tolerance=tol)
  File "/home/daniel/tradingbot/engine/backtest.py", line 308, in run_backtest
    port_series.to_parquet(os.path.join(DATA_DIR, "backtest_portfolio.parquet"))
    ^^^^^^^^^^^^^^^^^^^^^^
  File "/home/daniel/anaconda3/envs/tradingbot/lib/python3.11/site-packages/pandas/core/generic.py", line 6206, in __getattr__
    return object.__getattribute__(self, name)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'Series' object has no attribute 'to_parquet'
